Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
C2CD2	ENSG00000157617.16	46.15	110.971	-1.248	6.76E-13	DOWN
C2orf40	ENSG00000119147.9	0.21	5.185	-2.354	2.13E-20	DOWN
C2orf88	ENSG00000187699.10	0.57	4.709	-1.863	1.55E-10	DOWN
C3	ENSG00000125730.16	255.999	686.135	-1.419	7.29E-03	DOWN
C3AR1	ENSG00000171860.4	1.78	7.045	-1.533	5.25E-05	DOWN
C3orf18	ENSG00000088543.14	4.3	10.185	-1.077	1.30E-07	DOWN
C4A-AS1	ENSG00000233627.2	2.76	11.929	-1.782	2.22E-18	DOWN
C4B-AS1	ENSG00000229776.1	2.76	11.929	-1.782	2.22E-18	DOWN
C5AR1	ENSG00000197405.7	1.99	7.095	-1.437	2.87E-09	DOWN
C6orf49	ENSG00000278224.4	0.38	1.865	-1.054	5.56E-17	DOWN
C7	ENSG00000112936.18	76.808	562.768	-2.857	1.77E-13	DOWN
C8orf4	ENSG00000176907.4	3.71	9.735	-1.188	1.15E-05	DOWN
C8orf46	ENSG00000169085.11	0.56	2.31	-1.085	1.55E-13	DOWN
C9orf147	ENSG00000230185.4	0.35	5.58	-2.285	1.33E-17	DOWN
C9orf24	ENSG00000164972.12	0.4	2.47	-1.309	3.09E-12	DOWN
C9orf3	ENSG00000148120.14	10.65	29.144	-1.372	5.62E-14	DOWN
CA3	ENSG00000164879.6	0.15	1.945	-1.357	8.40E-10	DOWN
CAB39L	ENSG00000102547.18	2.31	19.559	-2.635	6.86E-21	DOWN
CACHD1	ENSG00000158966.13	2.85	9.34	-1.425	2.92E-16	DOWN
CACNA1D	ENSG00000157388.13	1.83	7.725	-1.624	4.55E-12	DOWN
CACNA2D4	ENSG00000151062.14	0.48	2.98	-1.427	5.03E-18	DOWN
CACNB1	ENSG00000067191.15	1.43	4.04	-1.052	1.48E-10	DOWN
CACNG1	ENSG00000108878.4	0	1.075	-1.053	5.42E-08	DOWN
CALCOCO1	ENSG00000012822.15	34.871	75.719	-1.097	3.64E-08	DOWN
CALCOCO2	ENSG00000136436.14	29.06	61.245	-1.05	1.06E-12	DOWN
CALD1	ENSG00000122786.19	26.8	71.125	-1.375	5.06E-14	DOWN
CAMK1	ENSG00000134072.10	36.959	78.08	-1.059	4.12E-07	DOWN
CAND2	ENSG00000144712.11	0.61	3.22	-1.39	2.24E-11	DOWN
CAPN2	ENSG00000162909.17	54.768	125.896	-1.186	2.13E-11	DOWN
CAPN3	ENSG00000092529.22	2.37	9.705	-1.667	1.07E-22	DOWN
CARD10	ENSG00000100065.14	4.79	11.719	-1.135	5.94E-10	DOWN
CARF	ENSG00000138380.17	1.21	3.97	-1.169	2.31E-14	DOWN
CARS2	ENSG00000134905.16	23.15	49.79	-1.073	2.34E-15	DOWN
CARTPT	ENSG00000164326.4	0	1.955	-1.563	3.29E-05	DOWN
CASC15	ENSG00000272168.5	0.29	1.76	-1.097	7.36E-06	DOWN
CASC3	ENSG00000108349.14	13.01	35.165	-1.368	2.00E-22	DOWN
CAT	ENSG00000121691.4	31.449	104.223	-1.697	7.78E-17	DOWN
CATSPER2	ENSG00000166762.16	1.16	4.69	-1.397	6.11E-23	DOWN
CBLN4	ENSG00000054803.3	0.12	6.36	-2.716	6.53E-29	DOWN
CBX7	ENSG00000100307.12	9.3	23.681	-1.261	2.63E-07	DOWN
CCDC14	ENSG00000175455.14	7.86	16.739	-1.002	3.57E-09	DOWN
CCDC142	ENSG00000135637.13	2.03	5.75	-1.156	7.24E-20	DOWN
CCDC159	ENSG00000183401.11	35.08	71.352	-1.004	1.80E-11	DOWN
CCDC40	ENSG00000141519.14	1.19	4.46	-1.318	1.02E-20	DOWN
CCDC57	ENSG00000176155.18	6.15	25.69	-1.9	6.68E-20	DOWN
CCDC68	ENSG00000166510.13	0.16	1.68	-1.208	1.05E-23	DOWN
CCDC82	ENSG00000149231.11	4.84	12.65	-1.225	6.93E-17	DOWN
CCDC93	ENSG00000125633.10	6.88	18.235	-1.287	1.59E-23	DOWN
CCL13	ENSG00000181374.7	0.1	2.765	-1.775	5.67E-06	DOWN
CCL14	ENSG00000276409.4	26.611	70.545	-1.374	2.55E-04	DOWN
CCL15-CCL14	ENSG00000275688.4	0.06	1.915	-1.459	8.43E-14	DOWN
CCL2	ENSG00000108691.9	6.25	68.595	-3.263	1.44E-18	DOWN
CCL21	ENSG00000137077.7	0.44	14.36	-3.415	6.65E-09	DOWN
CCL23	ENSG00000274736.4	0.09	4.58	-2.356	9.40E-21	DOWN
CCNL1	ENSG00000163660.11	24.421	65.231	-1.381	1.13E-18	DOWN
CCNL2	ENSG00000221978.11	46.301	161.478	-1.78	5.19E-24	DOWN
CCR1	ENSG00000163823.3	0.63	3.355	-1.418	3.73E-07	DOWN
CD14	ENSG00000170458.13	19.58	117.661	-2.528	6.25E-06	DOWN
CD163	ENSG00000177575.12	9.27	109.584	-3.429	1.86E-18	DOWN
CD209	ENSG00000090659.17	0.34	2.44	-1.36	6.57E-07	DOWN
CD300A	ENSG00000167851.13	2.1	5.22	-1.005	5.26E-05	DOWN
CD302	ENSG00000241399.6	2.73	7.66	-1.215	1.44E-09	DOWN
CD33	ENSG00000105383.14	1.04	5.325	-1.632	5.46E-08	DOWN
CD38	ENSG00000004468.12	0.2	2.165	-1.399	2.58E-13	DOWN
CD53	ENSG00000143119.12	6	19.229	-1.531	6.11E-07	DOWN
CD55	ENSG00000196352.13	37.61	103.539	-1.437	1.24E-08	DOWN
CD84	ENSG00000066294.14	0.24	1.69	-1.117	5.74E-10	DOWN
CDC42EP4	ENSG00000179604.9	14.71	43.125	-1.49	8.00E-20	DOWN
CDH12	ENSG00000154162.13	0.09	1.48	-1.186	5.01E-03	DOWN
CDH2	ENSG00000170558.8	1.99	48.729	-4.056	5.76E-22	DOWN
CDK11A	ENSG00000008128.22	14.63	40.71	-1.416	1.57E-14	DOWN
CDK18	ENSG00000117266.15	2.77	11.92	-1.777	3.10E-14	DOWN
CDK20	ENSG00000156345.17	6.75	16.044	-1.137	1.01E-08	DOWN
CDK3	ENSG00000250506.6	2.65	6.4	-1.02	4.51E-11	DOWN
CDK5RAP3	ENSG00000108465.14	52.399	106.016	-1.003	1.01E-09	DOWN
CDKN1C	ENSG00000129757.12	13.44	118.61	-3.05	1.27E-11	DOWN
CDRT4	ENSG00000239704.10	3.25	7.905	-1.067	4.50E-07	DOWN
CEACAM1	ENSG00000079385.21	4.88	12.245	-1.172	2.77E-07	DOWN
CEACAM19	ENSG00000186567.12	2.77	6.76	-1.042	1.94E-07	DOWN
CEBPD	ENSG00000221869.4	12.98	43.214	-1.661	1.54E-10	DOWN
CECR7	ENSG00000237438.6	0.45	2.45	-1.251	2.03E-05	DOWN
CELA1	ENSG00000139610.1	0.11	1.35	-1.082	1.42E-04	DOWN
CELA2A	ENSG00000142615.7	0	3.799	-2.263	5.15E-13	DOWN
CELA2B	ENSG00000215704.9	0	1.165	-1.114	7.14E-07	DOWN
CELA3A	ENSG00000142789.19	0	2.95	-1.982	5.23E-13	DOWN
CELA3B	ENSG00000219073.7	0	1.205	-1.141	1.92E-09	DOWN
CELF1	ENSG00000149187.17	14.26	30.609	-1.051	9.39E-15	DOWN
CELF6	ENSG00000140488.14	0.88	3.65	-1.306	5.39E-16	DOWN
CENPV	ENSG00000166582.9	9.18	21.029	-1.114	1.11E-11	DOWN
CEP95	ENSG00000258890.6	8.67	19.025	-1.05	1.72E-14	DOWN
CERK	ENSG00000100422.13	8.57	18.335	-1.015	2.60E-14	DOWN
CES1	ENSG00000198848.12	0.78	11.286	-2.787	1.57E-06	DOWN
CES4A	ENSG00000172824.14	1.23	16.85	-3.001	5.32E-37	DOWN
CFAP44	ENSG00000206530.8	1.06	3.79	-1.217	1.29E-19	DOWN
CFAP70	ENSG00000156042.17	2.74	8.51	-1.346	1.69E-12	DOWN
CFB	ENSG00000243649.8	2.03	15.25	-2.423	2.56E-05	DOWN
CFD	ENSG00000197766.7	3.77	17.421	-1.949	1.35E-11	DOWN
CFH	ENSG00000000971.15	4.49	27.795	-2.391	5.45E-18	DOWN
CFLAR	ENSG00000003402.19	19.65	41.996	-1.058	1.21E-17	DOWN
CGNL1	ENSG00000128849.10	1.92	9.5	-1.846	1.43E-10	DOWN
CH17-258A22.4	ENSG00000274615.1	1.22	5.6	-1.572	3.08E-07	DOWN
CH17-431G21.1	ENSG00000274487.1	1.07	10.295	-2.448	2.72E-26	DOWN
CHAD	ENSG00000136457.9	0.53	8.35	-2.611	5.46E-31	DOWN
CHD7	ENSG00000171316.11	1.06	3.455	-1.113	4.34E-15	DOWN
CHDH	ENSG00000016391.10	0.15	1.925	-1.347	1.03E-13	DOWN
CHGA	ENSG00000100604.12	0.1	4.539	-2.332	7.71E-05	DOWN
CHI3L1	ENSG00000133048.12	0.08	1.185	-1.017	2.27E-04	DOWN
CHKB	ENSG00000100288.19	21.021	74.397	-1.776	7.17E-24	DOWN
CHMP1B2P	ENSG00000278530.4	0.16	2.49	-1.589	3.13E-27	DOWN
CHRD	ENSG00000090539.15	1.1	17.685	-3.153	1.96E-24	DOWN
CHRDL1	ENSG00000101938.14	0.03	1.67	-1.374	9.70E-15	DOWN
CHST15	ENSG00000182022.17	1.32	7.52	-1.877	4.46E-23	DOWN
CHST6	ENSG00000183196.8	0.57	5.015	-1.938	7.39E-06	DOWN
CICP14	ENSG00000281490.1	1.67	8.79	-1.874	9.80E-26	DOWN
CIITA	ENSG00000179583.17	0.9	3.385	-1.207	3.49E-09	DOWN
CITED2	ENSG00000164442.9	28.369	90.804	-1.644	1.50E-07	DOWN
CKM	ENSG00000104879.4	0.03	1.54	-1.302	1.96E-13	DOWN
CLASP2	ENSG00000163539.15	5.94	15.385	-1.239	8.34E-12	DOWN
CLASRP	ENSG00000104859.14	25.44	56.645	-1.124	7.37E-16	DOWN
CLCF1	ENSG00000175505.10	0.2	1.785	-1.215	2.75E-09	DOWN
CLCN6	ENSG00000011021.21	4.02	12.565	-1.434	6.55E-26	DOWN
CLDN1	ENSG00000163347.5	14.56	39.56	-1.382	2.71E-03	DOWN
CLDN11	ENSG00000013297.10	0.33	3.885	-1.877	2.31E-11	DOWN
CLDN7	ENSG00000181885.18	1.01	7.335	-2.052	4.61E-19	DOWN
CLEC10A	ENSG00000132514.13	0.25	1.775	-1.151	2.81E-04	DOWN
CLEC3B	ENSG00000163815.5	10.19	37.174	-1.77	1.09E-07	DOWN
CLEC4GP1	ENSG00000268297.1	1.8	7.805	-1.653	2.66E-09	DOWN
CLEC5A	ENSG00000258227.6	0.21	1.61	-1.109	3.97E-11	DOWN
CLEC7A	ENSG00000172243.17	0.58	6.13	-2.174	4.15E-12	DOWN
CLHC1	ENSG00000162994.15	2.34	5.69	-1.002	8.32E-15	DOWN
CLK2	ENSG00000176444.18	19.419	63.445	-1.658	3.09E-20	DOWN
CLMP	ENSG00000166250.11	0.25	3.935	-1.981	3.03E-08	DOWN
CLPS	ENSG00000137392.9	0	3.834	-2.273	1.69E-15	DOWN
CLRN1	ENSG00000163646.10	0.08	3.135	-1.937	7.99E-04	DOWN
CMAHP	ENSG00000168405.14	2.74	12.04	-1.802	1.41E-21	DOWN
CMB9-22P13.1	ENSG00000173727.11	0.93	3.045	-1.068	2.73E-12	DOWN
CMKLR1	ENSG00000174600.13	0.61	4.295	-1.718	1.92E-15	DOWN
CNN1	ENSG00000130176.7	1.83	6.975	-1.495	9.19E-10	DOWN
CNN3	ENSG00000117519.15	96.301	239.934	-1.308	3.69E-09	DOWN
CNR1	ENSG00000118432.12	0.74	4.195	-1.578	2.05E-04	DOWN
CNTFR	ENSG00000122756.14	0.14	2.1	-1.443	1.98E-08	DOWN
CNTN1	ENSG00000018236.14	0.06	1.565	-1.275	3.39E-04	DOWN
CNTN6	ENSG00000134115.12	0.08	3.86	-2.17	2.92E-26	DOWN
CNTNAP1	ENSG00000108797.11	0.5	3.685	-1.643	3.08E-15	DOWN
COBLL1	ENSG00000082438.15	8.98	56.185	-2.519	1.68E-21	DOWN
COL12A1	ENSG00000111799.20	2.43	9.89	-1.667	6.05E-10	DOWN
COL15A1	ENSG00000204291.10	10.87	23.059	-1.019	3.35E-05	DOWN
COL16A1	ENSG00000084636.17	2.99	15.135	-2.016	1.14E-15	DOWN
COL28A1	ENSG00000215018.9	0.3	1.715	-1.062	8.17E-08	DOWN
COL4A3	ENSG00000169031.18	0.35	12.454	-3.317	7.17E-32	DOWN
COL4A4	ENSG00000081052.11	0.23	4.285	-2.103	1.13E-30	DOWN
COL6A2	ENSG00000142173.14	35.221	80.145	-1.164	1.23E-05	DOWN
COL8A1	ENSG00000144810.15	1.07	5.01	-1.538	3.89E-16	DOWN
COLEC11	ENSG00000118004.17	10.19	28.535	-1.4	2.00E-14	DOWN
COLGALT2	ENSG00000198756.10	0.54	2.365	-1.128	4.63E-03	DOWN
COPZ2	ENSG00000005243.9	9.37	36.45	-1.853	1.19E-07	DOWN
CORO1A	ENSG00000102879.15	6.82	18.59	-1.325	7.87E-05	DOWN
CORO2B	ENSG00000103647.12	0.31	2.725	-1.508	9.05E-22	DOWN
CORO6	ENSG00000167549.18	0.68	6.439	-2.147	1.46E-22	DOWN
COX7CP1	ENSG00000235957.1	0	6.34	-2.876	7.00E-20	DOWN
CP	ENSG00000047457.13	0.37	2.17	-1.21	3.26E-04	DOWN
CPA1	ENSG00000091704.9	0.03	3.164	-2.015	1.42E-11	DOWN
CPA4	ENSG00000128510.10	0.18	3.555	-1.949	3.97E-12	DOWN
CPE	ENSG00000109472.13	15.46	45.089	-1.485	4.78E-09	DOWN
CPNE9	ENSG00000144550.12	0.18	1.4	-1.024	1.71E-13	DOWN
CPSF7	ENSG00000149532.15	17.1	46.96	-1.406	3.25E-22	DOWN
CPT1A	ENSG00000110090.12	8.57	22.07	-1.269	3.22E-15	DOWN
CPT1B	ENSG00000205560.12	4.73	11.725	-1.151	2.49E-08	DOWN
CPXM1	ENSG00000088882.7	0.34	3.31	-1.685	2.65E-08	DOWN
CRACR2B	ENSG00000177685.16	2.15	11.645	-2.005	2.57E-19	DOWN
CREB3L1	ENSG00000157613.10	5.08	13.96	-1.299	1.64E-07	DOWN
CREBZF	ENSG00000137504.13	13.06	32.565	-1.255	7.54E-20	DOWN
CREG1	ENSG00000143162.7	41.4	112.333	-1.418	4.87E-08	DOWN
CRHBP	ENSG00000145708.10	0.37	9.549	-2.945	4.90E-34	DOWN
CRIPAK	ENSG00000179979.8	2.01	6.77	-1.368	1.34E-19	DOWN
CRISPLD2	ENSG00000103196.11	3.21	18.28	-2.195	4.15E-22	DOWN
CRLF1	ENSG00000006016.10	4.59	17.23	-1.705	1.44E-08	DOWN
CROCC	ENSG00000058453.16	5.86	16.955	-1.388	4.87E-25	DOWN
CROCCP2	ENSG00000282056.1	1.63	4.52	-1.07	1.38E-16	DOWN
CROCCP3	ENSG00000080947.14	0.93	3.774	-1.307	2.05E-19	DOWN
CRYAB	ENSG00000109846.7	18.06	68.486	-1.866	7.15E-12	DOWN
CRYBB2P1	ENSG00000100058.12	4.44	12	-1.257	9.30E-15	DOWN
CRYBG3	ENSG00000080200.9	1.02	3.58	-1.181	3.26E-21	DOWN
CSAD	ENSG00000139631.18	13.51	34.711	-1.299	1.23E-17	DOWN
CSDC2	ENSG00000172346.14	35.321	113.055	-1.651	4.78E-12	DOWN
CSF1	ENSG00000184371.13	4.67	32.125	-2.547	4.62E-16	DOWN
CSF1R	ENSG00000182578.13	4.19	17.79	-1.856	2.07E-07	DOWN
CSF3R	ENSG00000119535.17	1.11	7.51	-2.012	1.24E-16	DOWN
CSNK2B-LY6G5B-1181	ENSG00000263020.5	0.99	4.43	-1.448	5.00E-20	DOWN
CSRP1	ENSG00000159176.13	20.98	57.43	-1.411	3.59E-08	DOWN
CTA-276O3.4	ENSG00000235354.1	0	1.325	-1.217	1.72E-08	DOWN
CTB-133G6.1	ENSG00000263264.1	0.05	1.225	-1.083	1.61E-07	DOWN
CTB-31O20.4	ENSG00000267244.5	1.53	6.755	-1.616	3.52E-23	DOWN
CTB-50E14.5	ENSG00000269374.1	1.41	5.915	-1.521	3.03E-25	DOWN
CTB-79E8.3	ENSG00000253683.1	0	7.37	-3.065	4.39E-34	DOWN
CTC-251I16.1	ENSG00000279496.1	0.47	2.295	-1.164	2.66E-03	DOWN
CTC-255N20.1	ENSG00000250343.1	0.15	1.49	-1.115	6.11E-17	DOWN
CTC-429P9.2	ENSG00000268087.1	0.76	2.605	-1.034	6.27E-13	DOWN
CTC-429P9.4	ENSG00000268790.5	0.45	3.964	-1.775	5.66E-04	DOWN
CTC-524C5.2	ENSG00000263272.1	1.17	4.01	-1.207	6.64E-20	DOWN
CTC-529I10.1	ENSG00000275413.1	0.47	3.255	-1.533	1.33E-28	DOWN
CTC1	ENSG00000178971.13	5.86	17.08	-1.398	1.41E-25	DOWN
CTD-2012J19.2	ENSG00000248126.1	0	6.379	-2.883	6.63E-11	DOWN
CTD-2033D15.2	ENSG00000276107.1	0.04	1.55	-1.294	1.30E-16	DOWN
CTD-2033D15.3	ENSG00000278621.1	0.06	2.875	-1.87	1.00E-16	DOWN
CTD-2196E14.7	ENSG00000279618.1	0	4.055	-2.338	7.31E-06	DOWN
CTD-2270P14.1	ENSG00000260565.6	2.89	7.99	-1.209	1.06E-24	DOWN
CTD-2303H24.2	ENSG00000273018.5	0.89	4.505	-1.542	5.36E-12	DOWN
CTD-2311M21.2	ENSG00000260266.1	1.5	4.66	-1.179	1.64E-15	DOWN
CTD-2332E11.2	ENSG00000268560.1	1.59	4.85	-1.175	3.09E-05	DOWN
CTD-2373N4.3	ENSG00000279041.1	0.27	2.2	-1.333	1.69E-37	DOWN
CTD-2516F10.2	ENSG00000251364.6	0.29	2.245	-1.331	4.83E-21	DOWN
CTD-2517M22.14	ENSG00000255182.2	1.4	4.35	-1.156	1.06E-18	DOWN
CTD-2527I21.14	ENSG00000271032.1	0.12	1.625	-1.229	3.34E-30	DOWN
CTD-2537I9.12	ENSG00000267523.1	2.44	19.044	-2.543	9.77E-40	DOWN
CTD-2545G14.4	ENSG00000279812.1	0	6.25	-2.858	5.98E-16	DOWN
CTD-2619J13.14	ENSG00000232098.3	3.85	9.115	-1.06	6.61E-11	DOWN
CTD-2647L4.4	ENSG00000259366.1	1.04	5.955	-1.769	2.06E-24	DOWN
CTD-3157E16.1	ENSG00000265519.1	0.97	4.135	-1.382	3.72E-15	DOWN
CTD-3199J23.6	ENSG00000267681.1	0.71	2.485	-1.027	1.77E-12	DOWN
CTDSP2	ENSG00000175215.9	35.4	79.61	-1.147	1.28E-05	DOWN
CTF1	ENSG00000150281.6	1.75	6.895	-1.521	3.94E-08	DOWN
CTGF	ENSG00000118523.5	10.03	31.418	-1.555	2.47E-07	DOWN
CTGLF12P	ENSG00000265018.6	0.69	3.135	-1.291	1.81E-08	DOWN
CTNS	ENSG00000040531.14	6.26	15.695	-1.201	8.86E-15	DOWN
CTRB1	ENSG00000168925.10	0.28	3.259	-1.735	2.63E-05	DOWN
CTRB2	ENSG00000168928.12	0.26	3.643	-1.882	5.10E-07	DOWN
CTSK	ENSG00000143387.12	3.39	9.15	-1.209	1.10E-05	DOWN
CTTN	ENSG00000085733.15	74.15	195.015	-1.383	6.70E-25	DOWN
CUEDC1	ENSG00000180891.12	11.95	25.704	-1.044	3.98E-12	DOWN
CWC25	ENSG00000273559.4	5.8	15.74	-1.3	1.16E-28	DOWN
CXCL12	ENSG00000107562.16	3.27	33.344	-3.008	2.53E-18	DOWN
CXCL2	ENSG00000081041.8	0.65	4.18	-1.65	4.24E-08	DOWN
CXXC1	ENSG00000154832.14	29.25	73.259	-1.296	1.64E-16	DOWN
CYB561	ENSG00000008283.15	13.98	30.609	-1.077	1.03E-07	DOWN
CYB561A3	ENSG00000162144.9	38.419	378.263	-3.266	2.77E-18	DOWN
CYB561D1	ENSG00000174151.14	2.69	6.425	-1.009	1.37E-10	DOWN
CYB5A	ENSG00000166347.18	31.449	93.198	-1.538	7.79E-08	DOWN
CYB5D1	ENSG00000182224.11	5.07	12.59	-1.163	2.92E-19	DOWN
CYB5RL	ENSG00000215883.9	1.28	3.63	-1.022	6.25E-13	DOWN
CYBA	ENSG00000051523.10	22.65	58.716	-1.336	3.45E-05	DOWN
CYBB	ENSG00000165168.7	1.26	8.485	-2.069	1.53E-07	DOWN
CYBRD1	ENSG00000071967.11	12.35	52.897	-2.013	1.58E-15	DOWN
CYP11B1	ENSG00000160882.11	117.441	3355.006	-4.825	9.74E-21	DOWN
CYP11B2	ENSG00000179142.2	0.76	24.403	-3.851	5.96E-14	DOWN
CYP17A1	ENSG00000148795.5	2596.584	6948.086	-1.42	4.45E-10	DOWN
CYP1B1	ENSG00000138061.11	1.08	5.83	-1.715	6.08E-09	DOWN
CYP21A1P	ENSG00000204338.8	33.69	83.882	-1.291	1.56E-06	DOWN
CYP21A2	ENSG00000231852.6	947.182	1930.956	-1.027	5.84E-07	DOWN
CYP26B1	ENSG00000003137.8	0.62	2.29	-1.022	3.15E-04	DOWN
CYP2C8	ENSG00000138115.13	0.51	2.605	-1.255	2.04E-17	DOWN
CYP2D7	ENSG00000205702.10	0.54	2.34	-1.117	6.76E-17	DOWN
CYP4B1	ENSG00000142973.12	0.11	2.56	-1.681	1.84E-15	DOWN
CYP4F12	ENSG00000186204.14	0.27	3.73	-1.897	1.88E-13	DOWN
CYP4F29P	ENSG00000228314.1	0.15	1.445	-1.088	7.90E-03	DOWN
CYR61	ENSG00000142871.15	13.76	33.793	-1.237	8.03E-06	DOWN
CYTH4	ENSG00000100055.20	1.82	6.4	-1.392	1.29E-14	DOWN
D2HGDH	ENSG00000180902.16	13.29	29.09	-1.074	3.16E-15	DOWN
DAAM2	ENSG00000146122.16	2.33	17.35	-2.462	4.57E-19	DOWN
DACH1	ENSG00000276644.4	0.48	3.265	-1.527	2.59E-04	DOWN
DAPK1	ENSG00000196730.12	1.18	3.955	-1.185	1.07E-05	DOWN
DAPL1	ENSG00000163331.10	0.07	22.71	-4.47	1.54E-17	DOWN
DBH	ENSG00000123454.10	0.03	1.31	-1.165	6.32E-06	DOWN
DBH-AS1	ENSG00000225756.1	0.13	2.5	-1.631	4.72E-21	DOWN
DCAF6	ENSG00000143164.15	21.201	50.67	-1.219	2.22E-09	DOWN
DCAF8	ENSG00000132716.18	38.88	90.65	-1.2	1.19E-14	DOWN
DCN	ENSG00000011465.16	15.33	459.078	-4.816	6.45E-22	DOWN
DCUN1D3	ENSG00000188215.9	2.64	7.06	-1.147	1.03E-12	DOWN
DDHD2	ENSG00000085788.13	8.19	18.415	-1.079	2.53E-06	DOWN
DDI2	ENSG00000197312.11	1.68	5.35	-1.245	1.39E-31	DOWN
DDR2	ENSG00000162733.16	17.48	58.918	-1.697	5.27E-11	DOWN
DDX11L2	ENSG00000236397.3	0.25	2.225	-1.367	5.14E-15	DOWN
DDX17	ENSG00000100201.18	58.761	223.719	-1.911	1.95E-22	DOWN
DDX3Y	ENSG00000067048.16	0.01	28.327	-4.86	7.11E-09	DOWN
DDX5	ENSG00000108654.11	228.38	583.443	-1.349	7.21E-14	DOWN
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
